Class,Timestamp,Framecount,SessionID,Email,$Coord 0,$Coord 1,$Coord 2,$Coord 3,$Coord 4,$Coord 5,$Coord 6,$Coord 7,$Coord 8,$Coord 9,$Coord 10,$Coord 11,$Coord 12
0,2023-04-13 14:49:35.5410,1,46d6d22ed59c2e9063dca3cc0d211d11,anonymous,0.0000,1.1176,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.1176,0.0000,0.0000,1.1176,0.0000
0,2023-04-13 14:49:35.6556,2,46d6d22ed59c2e9063dca3cc0d211d11,anonymous,0.0000,1.1176,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.1176,0.0000,0.0000,1.1176,0.0000
0,2023-04-13 14:49:37.3339,3,46d6d22ed59c2e9063dca3cc0d211d11,anonymous,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,2023-04-13 14:49:37.9419,4,46d6d22ed59c2e9063dca3cc0d211d11,anonymous,0.0892,1.7112,-0.3331,0.0931,0.4142,-0.0556,0.9037,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,2023-04-13 14:49:38.1692,5,46d6d22ed59c2e9063dca3cc0d211d11,anonymous,0.0890,1.7108,-0.3321,0.0948,0.4110,-0.0560,0.9050,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,2023-04-13 14:49:38.1807,6,46d6d22ed59c2e9063dca3cc0d211d11,anonymous,0.0914,1.7081,-0.3204,0.1078,0.3804,-0.0497,0.9172,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,2023-04-13 14:49:38.6986,7,46d6d22ed59c2e9063dca3cc0d211d11,anonymous,0.0914,1.7081,-0.3202,0.1075,0.3793,-0.0493,0.9177,0.2475,0.8009,-0.3792,-0.0434,0.7562,-0.1955
0,2023-04-13 14:49:38.7086,8,46d6d22ed59c2e9063dca3cc0d211d11,anonymous,0.0878,1.7097,-0.3206,0.1013,0.3621,-0.0454,0.9255,0.2473,0.8007,-0.3780,-0.0441,0.7577,-0.1948
0,2023-04-13 14:49:38.7146,9,46d6d22ed59c2e9063dca3cc0d211d11,anonymous,0.0839,1.7106,-0.3198,0.0988,0.3479,-0.0430,0.9313,0.2437,0.7996,-0.3779,-0.0493,0.7579,-0.1976
0,2023-04-13 14:49:38.8757,10,46d6d22ed59c2e9063dca3cc0d211d11,anonymous,0.0838,1.7102,-0.3195,0.1003,0.3471,-0.0433,0.9315,0.2435,0.7994,-0.3778,-0.0499,0.7577,-0.1978
0,2023-04-13 14:49:38.9587,11,46d6d22ed59c2e9063dca3cc0d211d11,anonymous,0.0842,1.7106,-0.3187,0.0999,0.3454,-0.0424,0.9321,0.2438,0.7995,-0.3763,-0.0495,0.7583,-0.1964
0,2023-04-13 14:49:39.1168,12,46d6d22ed59c2e9063dca3cc0d211d11,anonymous,0.0838,1.7108,-0.3198,0.0998,0.3434,-0.0417,0.9329,0.2447,0.7993,-0.3758,-0.0485,0.7592,-0.1953
0,2023-04-13 14:49:39.2112,13,46d6d22ed59c2e9063dca3cc0d211d11,anonymous,0.0830,1.7110,-0.3210,0.0988,0.3385,-0.0409,0.9349,0.2452,0.7993,-0.3757,-0.0486,0.7604,-0.1946
0,2023-04-13 14:49:39.2712,14,46d6d22ed59c2e9063dca3cc0d211d11,anonymous,0.0815,1.7110,-0.3216,0.0989,0.3300,-0.0403,0.9379,0.2451,0.7993,-0.3753,-0.0490,0.7615,-0.1944
0,2023-04-13 14:49:39.3502,15,46d6d22ed59c2e9063dca3cc0d211d11,anonymous,0.0800,1.7114,-0.3213,0.0975,0.3173,-0.0389,0.9425,0.2450,0.7992,-0.3753,-0.0497,0.7622,-0.1943
0,2023-04-13 14:49:39.4077,16,46d6d22ed59c2e9063dca3cc0d211d11,anonymous,0.0775,1.7111,-0.3206,0.0988,0.2975,-0.0393,0.9488,0.2442,0.7991,-0.3748,-0.0511,0.7629,-0.1943
0,2023-04-13 14:49:39.4557,17,46d6d22ed59c2e9063dca3cc0d211d11,anonymous,0.0758,1.7112,-0.3199,0.0987,0.2833,-0.0400,0.9531,0.2441,0.7991,-0.3742,-0.0517,0.7630,-0.1944
0,2023-04-13 14:49:39.5087,18,46d6d22ed59c2e9063dca3cc0d211d11,anonymous,0.0743,1.7109,-0.3192,0.0996,0.2714,-0.0408,0.9564,0.2437,0.7990,-0.3738,-0.0524,0.7636,-0.1943
0,2023-04-13 14:49:39.5267,19,46d6d22ed59c2e9063dca3cc0d211d11,anonymous,0.0720,1.7109,-0.3181,0.1001,0.2551,-0.0429,0.9608,0.2435,0.7989,-0.3735,-0.0532,0.7642,-0.1944
0,2023-04-13 14:49:39.5993,20,46d6d22ed59c2e9063dca3cc0d211d11,anonymous,0.0684,1.7104,-0.3168,0.1024,0.2290,-0.0463,0.9669,0.2433,0.7986,-0.3721,-0.0542,0.7649,-0.1941
0,2023-04-13 14:49:39.6094,21,46d6d22ed59c2e9063dca3cc0d211d11,anonymous,0.0672,1.7103,-0.3164,0.1028,0.2196,-0.0470,0.9690,0.2432,0.7985,-0.3720,-0.0543,0.7649,-0.1941
0,2023-04-13 14:49:39.6511,22,46d6d22ed59c2e9063dca3cc0d211d11,anonymous,0.0655,1.7106,-0.3160,0.1015,0.2068,-0.0465,0.9720,0.2426,0.7981,-0.3717,-0.0559,0.7659,-0.1934
0,2023-04-13 14:49:39.7372,23,46d6d22ed59c2e9063dca3cc0d211d11,anonymous,0.0649,1.7109,-0.3159,0.1007,0.2028,-0.0456,0.9730,0.2428,0.7980,-0.3712,-0.0561,0.7657,-0.1937
0,2023-04-13 14:49:39.7773,24,46d6d22ed59c2e9063dca3cc0d211d11,anonymous,0.0597,1.7114,-0.3143,0.0986,0.1649,-0.0445,0.9804,0.2421,0.7974,-0.3699,-0.0578,0.7662,-0.1941
0,2023-04-13 14:49:39.8654,25,46d6d22ed59c2e9063dca3cc0d211d11,anonymous,0.0578,1.7120,-0.3136,0.0963,0.1521,-0.0443,0.9827,0.2418,0.7971,-0.3694,-0.0583,0.7664,-0.1951
0,2023-04-13 14:49:39.8785,26,46d6d22ed59c2e9063dca3cc0d211d11,anonymous,0.0563,1.7122,-0.3131,0.0955,0.1423,-0.0439,0.9842,0.2417,0.7970,-0.3690,-0.0592,0.7663,-0.1957
0,2023-04-13 14:49:39.9135,27,46d6d22ed59c2e9063dca3cc0d211d11,anonymous,0.0551,1.7126,-0.3125,0.0946,0.1358,-0.0440,0.9852,0.2415,0.7968,-0.3686,-0.0601,0.7661,-0.1959
0,2023-04-13 14:49:39.9721,28,46d6d22ed59c2e9063dca3cc0d211d11,anonymous,0.0542,1.7127,-0.3120,0.0948,0.1290,-0.0423,0.9862,0.2412,0.7966,-0.3682,-0.0614,0.7662,-0.1965
0,2023-04-13 14:49:39.9936,29,46d6d22ed59c2e9063dca3cc0d211d11,anonymous,0.0538,1.7126,-0.3117,0.0953,0.1264,-0.0411,0.9865,0.2409,0.7965,-0.3678,-0.0620,0.7662,-0.1968
0,2023-04-13 14:49:40.0183,30,46d6d22ed59c2e9063dca3cc0d211d11,anonymous,0.0536,1.7127,-0.3114,0.0954,0.1246,-0.0403,0.9868,0.2410,0.7963,-0.3674,-0.0625,0.7663,-0.1972
0,2023-04-13 14:49:40.0654,31,46d6d22ed59c2e9063dca3cc0d211d11,anonymous,0.0542,1.7124,-0.3113,0.0964,0.1288,-0.0400,0.9862,0.2410,0.7963,-0.3674,-0.0625,0.7663,-0.1972
0,2023-04-13 14:49:40.0939,32,46d6d22ed59c2e9063dca3cc0d211d11,anonymous,0.0537,1.7122,-0.3106,0.0985,0.1250,-0.0381,0.9865,0.2406,0.7961,-0.3658,-0.0643,0.7659,-0.1987
0,2023-04-13 14:49:40.1094,33,46d6d22ed59c2e9063dca3cc0d211d11,anonymous,0.0541,1.7117,-0.3105,0.1011,0.1265,-0.0376,0.9861,0.2404,0.7958,-0.3657,-0.0639,0.7667,-0.1996
0,2023-04-13 14:49:40.1605,34,46d6d22ed59c2e9063dca3cc0d211d11,anonymous,0.0549,1.7112,-0.3104,0.1034,0.1312,-0.0383,0.9852,0.2402,0.7960,-0.3658,-0.0649,0.7661,-0.1993
0,2023-04-13 14:49:40.1861,35,46d6d22ed59c2e9063dca3cc0d211d11,anonymous,0.0554,1.7107,-0.3099,0.1064,0.1325,-0.0373,0.9848,0.2399,0.7958,-0.3651,-0.0649,0.7665,-0.1996
0,2023-04-13 14:49:40.2126,36,46d6d22ed59c2e9063dca3cc0d211d11,anonymous,0.0560,1.7104,-0.3095,0.1071,0.1329,-0.0364,0.9847,0.2399,0.7960,-0.3644,-0.0669,0.7658,-0.2001
0,2023-04-13 14:49:40.2743,37,46d6d22ed59c2e9063dca3cc0d211d11,anonymous,0.0557,1.7109,-0.3092,0.1049,0.1299,-0.0383,0.9852,0.2399,0.7960,-0.3649,-0.0667,0.7659,-0.2004
0,2023-04-13 14:49:40.3244,38,46d6d22ed59c2e9063dca3cc0d211d11,anonymous,0.0560,1.7103,-0.3081,0.1078,0.1269,-0.0391,0.9853,0.2397,0.7958,-0.3639,-0.0678,0.7654,-0.2018
0,2023-04-13 14:49:40.3484,39,46d6d22ed59c2e9063dca3cc0d211d11,anonymous,0.0561,1.7101,-0.3080,0.1089,0.1267,-0.0390,0.9852,0.2396,0.7958,-0.3635,-0.0683,0.7651,-0.2026
0,2023-04-13 14:49:40.3656,40,46d6d22ed59c2e9063dca3cc0d211d11,anonymous,0.0563,1.7099,-0.3079,0.1097,0.1270,-0.0388,0.9851,0.2398,0.7958,-0.3631,-0.0698,0.7650,-0.2030
0,2023-04-13 14:49:40.3861,41,46d6d22ed59c2e9063dca3cc0d211d11,anonymous,0.0564,1.7097,-0.3078,0.1107,0.1280,-0.0382,0.9848,0.2398,0.7958,-0.3631,-0.0698,0.7650,-0.2030
0,2023-04-13 14:49:40.4336,42,46d6d22ed59c2e9063dca3cc0d211d11,anonymous,0.0566,1.7095,-0.3074,0.1119,0.1280,-0.0362,0.9848,0.2397,0.7959,-0.3619,-0.0704,0.7654,-0.2034
0,2023-04-13 14:49:40.4618,43,46d6d22ed59c2e9063dca3cc0d211d11,anonymous,0.0566,1.7095,-0.3071,0.1116,0.1263,-0.0359,0.9850,0.2400,0.7958,-0.3615,-0.0704,0.7655,-0.2031
0,2023-04-13 14:49:40.5119,44,46d6d22ed59c2e9063dca3cc0d211d11,anonymous,0.0559,1.7095,-0.3067,0.1111,0.1207,-0.0373,0.9857,0.2399,0.7962,-0.3609,-0.0711,0.7652,-0.2012
0,2023-04-13 14:49:40.5460,45,46d6d22ed59c2e9063dca3cc0d211d11,anonymous,0.0558,1.7094,-0.3067,0.1118,0.1195,-0.0371,0.9858,0.2400,0.7962,-0.3606,-0.0716,0.7643,-0.2013
0,2023-04-13 14:49:40.5666,46,46d6d22ed59c2e9063dca3cc0d211d11,anonymous,0.0559,1.7093,-0.3067,0.1121,0.1193,-0.0366,0.9858,0.2401,0.7960,-0.3605,-0.0719,0.7632,-0.2012
0,2023-04-13 14:49:40.5983,47,46d6d22ed59c2e9063dca3cc0d211d11,anonymous,0.0559,1.7092,-0.3068,0.1124,0.1199,-0.0361,0.9857,0.2403,0.7960,-0.3603,-0.0700,0.7644,-0.2014
0,2023-04-13 14:49:40.6208,48,46d6d22ed59c2e9063dca3cc0d211d11,anonymous,0.0560,1.7093,-0.3069,0.1122,0.1212,-0.0361,0.9856,0.2401,0.7961,-0.3605,-0.0693,0.7648,-0.2012
0,2023-04-13 14:49:40.6438,49,46d6d22ed59c2e9063dca3cc0d211d11,anonymous,0.0561,1.7093,-0.3070,0.1126,0.1213,-0.0356,0.9856,0.2404,0.7960,-0.3598,-0.0688,0.7649,-0.2006
0,2023-04-13 14:49:40.6749,50,46d6d22ed59c2e9063dca3cc0d211d11,anonymous,0.0562,1.7093,-0.3070,0.1124,0.1213,-0.0355,0.9856,0.2404,0.7961,-0.3597,-0.0695,0.7648,-0.2013
0,2023-04-13 14:49:40.7030,51,46d6d22ed59c2e9063dca3cc0d211d11,anonymous,0.0562,1.7092,-0.3071,0.1128,0.1214,-0.0352,0.9855,0.2404,0.7960,-0.3599,-0.0699,0.7647,-0.2016
